OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
1978:2,6.78,6.2,4.0,4.9,-3.1,10.1,5.2,-10.6
1978:3,6.79,6.4,4.7,5.0,-10.6,11.3,4.5,-1.5
1978:4,6.89,6.5,5.9,5.4,-0.1,12.0,4.5,16.1
1978:5,7.36,7.1,5.4,5.4,8.1,12.4,4.2,5.3
1978:6,7.60,7.4,5.3,5.4,14.5,12.9,3.8,9.4
1978:7,7.81,7.7,5.1,5.3,20.3,11.5,3.5,1.7
1978:8,8.04,7.9,5.5,5.3,21.3,12.6,3.5,-1.2
1978:9,8.45,8.5,5.3,4.9,32.7,12.3,2.9,1.1
1978:10,8.96,8.9,5.9,5.0,34.6,11.9,2.6,-3.0
1978:11,9.76,8.9,6.6,5.0,35.6,11.6,1.9,2.5
1978:12,10.03,9.0,7.1,5.1,25.7,12.0,2.0,-4.6
1979:1,10.07,9.3,7.8,5.0,20.7,13.0,2.8,-5.1
1979:2,10.06,9.8,7.9,4.8,16.3,12.0,2.6,-12.5
1979:3,10.09,10.3,6.2,4.7,21.3,11.1,2.1,-9.1
1979:4,10.01,10.5,2.9,3.8,9.7,10.1,0.9,-20.4
1979:5,10.24,10.7,3.4,3.8,6.2,10.4,0.6,-9.6
1979:6,10.29,11.1,2.6,3.6,7.8,10.5,0.3,-7.6
1979:7,10.47,11.5,2.5,3.5,12.2,11.1,0.6,-15.9
1979:8,10.94,11.8,1.5,3.2,0.2,11.6,0.3,-10.9
1979:9,11.43,11.9,1.3,3.1,-2.1,12.4,0.2,-7.0
1979:10,13.77,12.1,1.0,2.9,-1.4,11.9,-0.1,-15.1
1979:11,13.18,12.6,0.2,2.5,6.1,11.9,0.1,-27.2
1979:12,13.78,13.3,-0.3,2.3,-0.1,11.3,-0.2,-26.7
1980:1,13.82,13.9,0.8,2.2,-3.3,13.0,0.2,-17.7
1980:2,14.13,14.2,0.3,2.1,-2.3,12.1,-0.7,-11.2
1980:3,17.19,14.6,-0.3,1.7,-4.2,11.6,-1.8,-43.3
1980:4,17.61,14.6,-1.3,1.6,-10.2,10.2,-1.6,-39.9
1980:5,10.98,14.4,-4.4,0.7,-18.5,9.1,-1.5,-50.6
1980:6,9.47,14.3,-5.6,0.0,-28.5,9.1,-1.1,-37.5
1980:7,9.03,13.2,-6.0,-0.4,-36.3,10.1,-0.9,-27.9
1980:8,9.61,12.9,-5.2,-0.2,-21.7,9.1,-0.8,-19.2
1980:9,10.87,12.8,-3.7,-0.1,-20.0,8.9,-0.2,-19.7
1980:10,12.81,12.6,-3.1,0.0,-12.1,10.6,0.9,-9.4
1980:11,15.85,12.6,-1.3,0.2,-14.0,10.1,0.8,-0.9
1980:12,18.90,12.4,-0.8,0.3,-11.6,11.1,1.0,-1.1
1981:1,19.08,11.8,-1.8,0.3,-8.1,10.2,-0.1,15.4
1981:2,15.93,11.4,-2.3,0.2,-16.1,10.8,0.1,-7.7
1981:3,14.70,10.6,-1.5,0.2,-13.6,11.4,1.1,24.7
1981:4,15.72,10.1,0.1,0.5,-9.4,12.3,1.4,29.4
1981:5,18.52,9.8,3.3,1.0,-6.5,12.6,1.9,23.0
1981:6,19.10,9.7,5.0,1.5,11.7,12.5,2.3,-12.6
1981:7,19.04,10.8,6.4,2.0,12.8,11.1,2.9,-18.0
1981:8,17.82,10.8,6.1,1.6,-2.1,11.4,3.0,-34.5
1981:9,15.87,11.0,3.7,1.4,-3.2,10.3,2.3,-38.1
1981:10,15.08,10.3,1.8,1.0,-23.5,8.0,1.3,-42.7
1981:11,13.31,9.6,-1.1,0.5,-23.9,7.8,1.1,-44.6
1981:12,12.37,8.9,-2.8,-0.1,-26.7,7.2,0.5,-38.6
1982:1,13.22,8.3,-4.1,-0.5,-36.0,6.5,1.0,-45.5
1982:2,14.78,7.6,-1.8,-0.6,-36.1,7.0,1.7,-30.5
1982:3,14.68,6.9,-3.0,-0.9,-51.2,6.1,1.4,-28.7
1982:4,14.94,6.6,-3.5,-1.2,-49.1,6.2,2.7,-32.6
1982:5,14.45,6.9,-4.7,-1.3,-37.5,6.7,2.1,-10.1
1982:6,14.15,7.2,-5.4,-1.8,-44.1,5.8,1.1,-13.7
1982:7,12.59,6.6,-6.3,-2.3,-39.0,6.7,0.6,12.0
1982:8,10.12,6.0,-7.1,-2.4,-40.2,5.8,0.4,11.3
1982:9,10.31,4.9,-6.8,-2.5,-37.4,7.1,0.5,25.6
1982:10,9.71,5.0,-7.0,-2.7,-28.7,8.4,0.3,34.4
1982:11,9.20,4.5,-6.3,-2.6,-36.1,9.2,0.7,63.9
1982:12,8.95,3.8,-5.9,-2.3,-28.5,8.9,1.3,43.2
1983:1,8.68,3.7,-2.2,-1.7,-10.5,9.1,1.5,88.1
1983:2,8.51,3.5,-4.7,-1.8,7.5,8.0,1.3,96.2
1983:3,8.77,3.6,-3.2,-1.5,35.3,9.1,1.8,72.5
1983:4,8.80,4.0,-1.1,-0.9,55.7,10.1,1.0,60.5
1983:5,8.63,3.4,0.2,-0.5,45.7,10.0,1.7,73.3
1983:6,8.98,2.5,1.1,0.2,55.3,11.2,2.2,92.1
1983:7,9.37,2.4,2.9,1.0,54.9,11.3,2.5,53.1
1983:8,9.56,2.5,5.0,0.9,77.0,11.6,2.4,82.6
1983:9,9.45,2.8,6.9,2.3,65.0,10.9,3.0,49.5
1983:10,9.48,2.8,8.7,2.9,69.0,10.8,3.9,46.2
1983:11,9.34,3.2,9.5,3.5,82.6,10.0,4.4,30.1
1983:12,9.47,3.8,10.9,3.9,82.6,10.6,4.8,29.5
1984:1,9.56,4.3,11.0,4.1,47.4,11.2,5.2,19.6
1984:2,9.59,4.7,12.2,4.8,46.0,10.3,5.8,33.0
1984:3,9.91,4.9,11.8,4.9,53.7,10.3,6.0,3.5
1984:4,10.29,4.6,11.2,5.0,29.3,10.3,6.5,25.7
1984:5,10.32,4.3,10.9,5.0,3.6,10.2,6.3,-0.1
1984:6,11.06,4.3,10.7,5.0,4.1,9.7,7.1,6.3
1984:7,11.23,4.3,9.4,4.8,-3.0,8.3,5.9,-3.0
1984:8,11.64,4.3,8.3,5.4,-15.4,8.3,6.7,-17.0
1984:9,11.30,4.3,6.5,4.5,-21.5,8.6,6.9,-0.7
1984:10,9.99,4.3,5.5,4.5,-25.4,7.5,5.5,-7.3
1984:11,9.43,4.2,5.5,4.5,-19.2,8.8,5.0,-5.4
1984:12,8.38,4.0,5.1,4.2,-29.0,8.0,4.7,-4.5
1985:1,8.35,3.5,2.8,4.0,-26.1,8.4,4.2,-9.8
1985:2,8.50,3.6,2.7,3.6,-37.0,10.0,2.6,-27.8
1985:3,8.58,3.8,2.4,3.7,-37.2,9.0,1.5,8.2
1985:4,8.27,3.6,1.5,3.5,-38.7,8.4,2.5,-1.6
1985:5,7.97,3.6,1.1,3.4,-22.1,9.1,4.7,-5.3
1985:6,7.53,3.7,0.9,3.2,-33.8,7.9,1.8,-9.1
