OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
2000:5,6.27,3.1,4.9,2.6,28.3,7.7,4.2,-2.2
2000:6,6.53,3.7,5.2,2.3,16.1,7.8,4.1,0.0
2000:7,6.54,3.6,4.4,2.2,14.2,7.7,4.5,-12.3
2000:8,6.50,3.4,3.6,2.1,-4.1,7.5,4.7,-6.5
2000:9,6.52,3.5,4.4,2.0,-11.2,7.9,4.7,-7.8
2000:10,6.51,3.5,2.6,1.7,-16.1,7.6,4.3,-3.7
2000:11,6.51,3.4,2.1,1.6,-14.7,7.2,3.5,-5.9
2000:12,6.40,3.4,1.1,1.5,-11.3,6.3,2.8,-10.3
2001:1,5.98,3.7,0.3,1.3,-10.8,6.8,2.5,-2.2
2001:2,5.49,3.5,-0.6,1.2,-22.3,5.7,2.3,-6.4
2001:3,5.31,3.0,-1.4,0.9,-36.6,4.6,2.4,-0.9
2001:4,4.80,3.2,-2.4,0.4,-32.6,5.0,1.7,1.4
2001:5,4.21,3.6,-3.3,0.2,-31.4,5.1,1.1,1.9
2001:6,3.97,3.2,-4.0,0.2,-32.0,4.8,0.9,4.9
2001:7,3.77,2.7,-4.4,-0.1,-37.1,4.6,1.9,14.1
2001:8,3.65,2.7,-4.3,-0.2,-39.8,4.6,3.1,1.7
2001:9,3.07,2.6,-5.0,-0.4,-37.3,2.0,2.4,3.6
2001:10,2.49,2.1,-5.1,-0.7,-42.3,4.8,0.6,-0.6
2001:11,2.09,1.9,-5.6,-1.1,-44.9,4.0,0.9,3.3
2001:12,1.82,1.6,-5.3,-1.3,-44.5,3.0,1.1,2.3
2002:1,1.73,1.2,-4.0,-1.4,-32.0,3.0,2.7,6.1
2002:2,1.74,1.1,-3.4,-1.5,-25.4,3.3,2.6,12.6
2002:3,1.73,1.4,-2.4,-1.5,4.0,3.6,2.2,3.3
2002:4,1.75,1.6,-1.6,-1.4,25.6,4.4,2.7,-3.5
2002:5,1.75,1.2,-0.5,-1.4,39.7,3.4,3.2,9.9
2002:6,1.75,1.1,1.1,-1.2,53.0,3.8,3.4,5.0
2002:7,1.73,1.5,1.4,-1.2,71.2,4.4,1.5,-0.9
2002:8,1.74,1.7,1.7,-1.1,75.7,4.2,-0.3,4.2
2002:9,1.75,1.5,2.1,-1.0,70.8,5.3,0.5,15.5
2002:10,1.75,2.0,2.3,-0.6,75.1,3.0,2.3,7.0
2002:11,1.34,2.3,3.4,-0.4,74.1,4.0,2.3,9.4
2002:12,1.24,2.5,2.9,-0.4,71.4,5.0,2.4,14.0
2003:1,1.24,2.8,2.9,-0.2,31.0,5.0,0.3,9.1
2003:2,1.26,3.1,3.2,-0.2,57.8,4.3,0.0,-10.9
2003:3,1.25,3.0,2.2,-0.4,34.9,4.8,0.4,5.1
2003:4,1.26,2.2,0.9,-0.3,5.3,4.3,0.7,3.2
2003:5,1.26,1.9,0.6,-0.3,-18.3,4.7,1.3,-0.7
2003:6,1.22,1.9,-0.4,-0.4,-13.7,4.8,1.4,8.7
2003:7,1.01,2.1,0.5,-0.3,-22.4,4.8,2.9,14.6
2003:8,1.03,2.2,0.2,-0.3,-13.8,5.8,3.6,12.2
2003:9,1.01,2.4,0.7,-0.2,-10.4,6.0,2.4,7.5
2003:10,1.01,2.0,1.1,-0.1,0.3,5.6,2.6,19.4
2003:11,1.00,1.9,1.3,-0.1,14.9,6.0,3.1,18.8
2003:12,0.98,2.0,1.7,0.1,16.0,5.6,3.0,15.0
2004:1,1.00,2.0,1.3,0.1,31.3,6.0,3.1,3.1
2004:2,1.01,1.7,1.5,0.3,24.4,6.6,3.5,13.3
2004:3,1.00,1.7,1.2,0.7,22.9,6.5,3.5,15.8
2004:4,1.00,2.3,2.4,0.9,38.6,6.3,3.2,21.9
2004:5,1.00,2.9,3.1,1.2,67.0,7.1,2.9,13.1
2004:6,1.03,3.2,2.2,1.2,43.4,6.2,2.6,-2.1
2004:7,1.26,2.9,2.4,1.2,45.3,6.3,1.6,5.5
2004:8,1.43,2.5,2.7,1.4,53.8,5.3,1.2,10.4
2004:9,1.61,2.5,2.2,1.4,35.7,6.3,2.4,-1.8
2004:10,1.76,3.2,3.1,1.5,34.2,6.7,2.1,5.3
2004:11,1.93,3.6,2.5,1.6,15.6,6.4,1.1,-14.5
2004:12,2.16,3.3,3.4,1.6,9.1,6.8,4.6,-0.7
2005:1,2.28,2.8,3.6,1.5,-8.6,6.0,1.0,12.2
2005:2,2.50,3.1,3.7,1.7,-19.6,6.2,0.8,19.6
2005:3,2.63,3.2,4.1,1.5,-15.1,6.2,0.8,-6.7
2005:4,2.79,3.4,3.9,1.6,-19.3,7.1,0.6,2.9
2005:5,3.00,2.9,3.3,1.5,-32.6,5.7,0.5,2.2
2005:6,3.04,2.5,4.5,1.6,-37.7,7.0,0.8,13.1
2005:7,3.26,3.1,3.5,1.9,-37.0,7.2,0.9,2.6
2005:8,3.50,3.6,3.7,1.9,-23.3,7.0,0.8,3.5
2005:9,3.62,4.7,1.5,1.9,2.6,6.6,0.3,12.9
2005:10,3.78,4.4,1.9,1.7,7.0,6.4,0.6,-0.3
2005:11,4.00,3.3,2.7,1.9,0.0,6.3,1.6,20.5
2005:12,4.16,3.3,2.5,1.9,-12.5,6.0,-1.5,-2.4
2006:1,4.29,4.0,2.2,2.0,-5.8,6.8,3.3,6.0
2006:2,4.49,3.6,1.6,2.0,-4.6,6.5,3.7,-4.0
2006:3,4.59,3.4,1.9,2.2,-8.9,6.3,3.5,5.6
2006:4,4.79,3.6,2.2,2.0,0.7,5.8,3.2,-11.6
2006:5,4.94,4.0,1.8,1.9,32.8,6.6,2.7,-4.1
2006:6,4.99,4.2,1.8,1.8,51.5,5.8,2.6,-12.9
2006:7,5.24,4.1,2.1,1.6,61.9,5.6,2.3,-15.4
2006:8,5.25,3.9,2.2,1.6,16.8,5.6,2.2,-21.2
2006:9,5.25,2.0,4.1,1.7,-21.8,5.3,3.3,-20.0
2006:10,5.25,1.4,2.8,1.6,-44.0,5.1,3.4,-27.8
2006:11,5.25,2.0,1.6,1.5,-27.7,4.9,3.1,-26.9
2006:12,5.24,2.5,2.0,1.5,-24.6,5.4,2.8,-17.3
2007:1,5.25,2.1,1.4,1.5,-18.5,5.0,1.5,-38.0
2007:2,5.26,2.4,2.5,1.3,-5.6,5.0,1.3,-30.2
2007:3,5.26,2.8,2.4,1.3,-1.5,5.1,1.5,-24.1
2007:4,5.25,2.6,2.7,1.2,2.1,4.8,1.6,-18.2
2007:5,5.25,2.7,2.9,1.3,-7.8,4.9,1.6,-27.1
2007:6,5.25,2.7,2.5,1.3,-11.1,4.7,1.3,-19.6
2007:7,5.26,2.3,2.5,1.1,-17.2,4.3,1.5,-22.0
2007:8,5.02,1.9,2.3,0.9,-13.7,4.6,1.6,-19.4
2007:9,4.94,2.8,2.9,0.9,-3.3,4.7,1.2,-31.2
2007:10,4.76,3.6,2.4,1.0,34.0,4.7,0.5,-15.2
2007:11,4.49,4.4,3.2,0.9,26.2,5.3,0.0,-23.8
2007:12,4.24,4.1,2.1,0.8,43.2,4.5,0.2,-37.1
2008:1,3.94,4.3,2.4,0.7,43.4,4.3,0.4,-23.1
2008:2,2.98,4.1,1.0,0.5,28.0,3.8,0.3,-25.5
2008:3,2.61,4.0,0.6,0.3,27.5,3.9,0.2,-32.8
2008:4,2.28,3.9,-0.9,0.1,15.8,3.9,-0.1,-32.0
2008:5,1.98,4.1,-1.4,-0.1,22.5,4.0,4.7,-31.2
2008:6,2.00,4.9,-1.5,-0.3,34.6,4.4,2.1,-27.8
2008:7,2.01,5.5,-2.1,-0.4,36.2,4.0,0.2,-31.8
2008:8,2.00,5.3,-3.7,-0.6,22.2,3.5,-0.6,-36.5
2008:9,1.81,5.0,-8.1,-1.0,-9.3,2.5,-0.7,-30.7
2008:10,0.97,3.7,-6.9,-1.4,-41.3,1.3,-0.1,-38.5
2008:11,0.39,1.1,-8.6,-2.0,-62.2,-0.8,0.7,-45.5
2008:12,0.16,0.0,-11.2,-2.6,-73.5,-2.0,0.0,-46.0
2009:1,0.15,-0.1,-12.9,-3.2,-61.8,-1.7,0.1,-54.8
2009:2,0.22,0.0,-13.3,-3.6,-61.6,-1.8,-1.0,-47.2
2009:3,0.18,-0.4,-14.3,-4.2,-62.9,-2.6,-1.2,-49.8
2009:4,0.15,-0.6,-14.4,-4.5,-62.1,-3.0,-0.3,-52.8
2009:5,0.18,-1.0,-14.9,-4.6,-50.0,-3.3,-3.3,-44.5
2009:6,0.21,-1.2,-15.1,-4.9,-45.4,-3.4,-2.4,-44.1
2009:7,0.16,-2.0,-13.8,-4.9,-37.9,-3.1,-1.2,-35.6
2009:8,0.16,-1.5,-11.6,-4.9,-15.6,-1.8,-0.6,-30.6
2009:9,0.15,-1.4,-7.1,-4.8,18.7,-2.1,-0.6,-28.7
2009:10,0.12,-0.2,-7.5,-4.6,75.7,-0.6,-1.5,-31.3
2009:11,0.12,1.9,-5.9,-4.1,115.7,1.0,-2.0,-9.8
2009:12,0.12,2.8,-2.9,-3.8,241.7,2.6,-1.3,3.8
2010:1,0.11,2.6,0.5,-3.2,141.4,2.2,-1.8,25.3
2010:2,0.13,2.1,1.5,-2.7,131.0,2.6,-1.1,3.8
2010:3,0.16,2.3,3.8,-2.0,141.9,3.6,-0.9,25.9
2010:4,0.20,2.2,5.1,-1.3,143.8,3.7,-0.7,43.7
2010:5,0.20,2.0,7.8,-0.6,78.2,3.9,-1.5,8.0
2010:6,0.18,1.2,8.5,-0.4,14.0,3.7,0.2,-8.4
2010:7,0.18,1.4,8.1,-0.2,4.5,3.5,0.7,-8.1
2010:8,0.19,1.2,7.4,0.0,-5.4,2.9,1.2,2.2
2010:9,0.19,1.1,6.9,0.1,11.0,4.0,1.0,1.5
2010:10,0.19,1.2,6.2,0.4,9.2,4.2,1.7,1.7
2010:11,0.19,1.1,6.0,0.5,26.4,4.6,1.7,-7.3
2010:12,0.18,1.4,6.5,0.8,17.9,4.4,2.1,-7.2
2011:1,0.17,1.7,5.3,0.9,16.4,4.7,2.8,2.6
2011:2,0.16,2.1,4.4,1.0,22.4,4.8,3.3,-14.4
2011:3,0.14,2.6,4.6,1.1,13.3,4.8,2.9,-5.7
2011:4,0.10,3.1,3.7,1.1,9.6,5.1,1.9,-19.4
2011:5,0.09,3.5,2.5,0.8,-1.3,5.1,1.2,-3.8
2011:6,0.09,3.5,2.5,1.0,19.3,5.0,1.6,13.4
2011:7,0.07,3.6,2.5,1.2,2.6,5.3,1.9,14.1
2011:8,0.10,3.7,2.7,1.3,-9.8,4.9,1.5,-2.3
2011:9,0.08,3.8,2.5,1.5,-20.6,5.1,1.3,9.4
2011:10,0.07,3.5,3.4,1.5,-42.3,4.7,1.2,12.3
2011:11,0.08,3.5,3.3,1.5,-35.3,4.1,0.8,30.5
2011:12,0.07,3.0,2.8,1.6,-34.5,3.7,0.9,28.8
2012:1,0.08,3.0,3.7,1.8,-31.9,4.1,1.1,14.8
2012:2,0.10,2.9,4.6,1.9,-25.0,4.4,1.3,36.2
2012:3,0.13,2.6,3.2,1.9,-28.2,3.9,1.7,15.8
2012:4,0.14,2.3,4.6,1.7,-28.7,3.8,2.2,35.9
2012:5,0.16,1.8,4.6,1.7,-37.9,3.5,2.2,26.2
2012:6,0.16,1.7,4.4,1.6,-45.6,3.3,1.9,24.5
2012:7,0.16,1.4,4.3,1.6,-33.1,3.2,1.3,18.8
2012:8,0.13,1.7,3.2,1.7,-2.7,3.3,1.2,28.9
2012:9,0.14,1.9,3.3,1.6,3.6,3.6,2.0,30.3
2012:10,0.16,2.2,2.7,1.6,34.1,3.4,2.5,50.0
2012:11,0.16,1.8,3.6,1.7,16.7,3.6,4.1,17.2
2012:12,0.16,1.8,3.3,1.7,16.8,3.9,6.2,40.6
2013:1,0.14,1.6,2.5,1.6,1.8,3.6,-0.8,23.9
2013:2,0.15,2.0,2.8,1.6,0.0,3.6,-0.9,35.1
2013:3,0.14,1.5,3.6,1.5,-10.7,3.5,-0.7,43.0
2013:4,0.15,1.1,2.6,1.6,-18.0,3.1,-0.7,12.6
2013:5,0.11,1.4,2.4,1.7,4.2,3.4,-0.3,29.2
2013:6,0.09,1.8,2.5,1.8,41.9,3.9,-0.3,9.8
2013:7,0.09,2.0,1.8,1.7,24.1,3.7,-0.1,21.4
2013:8,0.08,1.5,3.0,1.8,0.0,3.7,0.4,17.4
2013:9,0.08,1.1,3.4,1.8,-2.6,3.4,0.2,1.9
2013:10,0.09,0.9,3.6,1.8,0.9,3.6,-0.7,2.3
2013:11,0.08,1.2,3.2,1.9,0.0,4.0,-2.0,32.7
2013:12,0.09,1.5,3.3,1.8,-3.6,3.9,-4.9,5.9
2014:1,0.07,1.6,2.9,1.7,7.1,3.2,1.6,0.1
2014:2,0.07,1.1,3.2,1.6,-2.4,3.0,1.6,-2.4
2014:3,0.08,1.5,3.6,1.7,8.3,3.8,1.7,-4.4
2014:4,0.09,2.0,3.9,1.8,13.0,4.0,1.6,25.4
2014:5,0.09,2.1,4.3,1.8,21.2,4.0,1.4,7.5
2014:6,0.10,2.1,4.5,1.9,10.5,4.0,1.4,9.4
2014:7,0.09,2.0,5.1,2.0,21.4,4.0,1.6,22.3
2014:8,0.09,1.7,4.4,2.0,7.4,4.4,1.5,8.8
2014:9,0.09,1.7,4.5,2.0,5.3,4.2,1.3,19.1
2014:10,0.09,1.7,4.4,2.0,-3.6,4.2,1.9,16.7
2014:11,0.09,1.3,5.2,2.1,-15.2,4.1,2.2,-5.6
2014:12,0.12,0.7,4.9,2.3,-28.0,3.6,3.0,5.3
