repond id,response,male,activity,age
796,0,0,0,50
797,0,1,0,65
798,0,1,0,49
799,0,1,0,68
800,0,1,0,55
801,0,1,0,47
802,0,1,1,62
803,0,1,0,70
804,0,1,1,77
805,0,0,0,68
806,0,1,0,52
807,0,1,0,58
808,0,0,0,39
809,0,1,0,64
810,0,1,0,50
811,0,1,0,50
812,0,1,0,44
813,0,1,0,55
814,0,0,0,71
815,0,1,0,65
816,0,1,0,47
817,0,1,0,45
818,0,1,0,51
819,0,0,0,45
820,0,0,0,49
821,0,0,0,59
822,0,1,0,48
823,0,0,0,38
824,0,1,0,54
825,0,1,0,36
826,0,1,0,50
827,0,1,0,39
828,0,1,0,45
829,0,1,0,75
830,0,0,0,42
831,0,1,1,38
832,0,1,0,40
833,0,0,0,30
834,0,0,0,78
835,0,1,0,45
836,0,1,0,42
837,0,1,0,40
838,0,0,0,75
839,0,1,0,70
840,0,1,0,40
841,0,0,0,52
842,0,0,0,42
843,0,0,0,63
844,0,1,0,55
845,0,1,0,74
846,0,1,0,76
847,0,1,1,68
848,0,1,0,47
849,0,1,0,69
850,0,1,0,56
851,0,0,0,63
852,0,1,0,56
853,0,1,0,43
854,0,1,0,50
855,0,1,0,67
856,0,0,0,73
857,0,1,0,32
858,0,1,0,66
859,0,1,1,55
860,0,0,0,25
861,0,0,0,59
862,0,1,0,66
863,0,0,0,67
864,0,0,0,35
865,0,0,0,69
866,0,1,0,59
867,0,1,0,61
868,0,0,1,64
869,0,1,0,44
870,0,1,0,56
871,0,1,0,56
872,0,0,0,67
873,0,0,0,32
874,0,1,0,60
875,0,1,0,61
876,0,1,0,49
877,0,0,0,52
878,0,1,0,82
879,0,1,0,63
880,0,0,0,27
881,0,1,1,47
882,0,1,0,49
883,0,1,0,55
884,0,1,0,52
885,0,0,1,69
886,0,1,0,49
887,0,1,0,43
888,0,0,0,32
889,0,0,0,64
890,0,1,1,64
891,0,1,0,45
892,0,1,1,59
893,0,1,0,63
894,0,0,0,45
895,0,0,0,39
896,0,1,0,61
897,0,1,0,36
898,0,1,1,53
899,0,1,1,39
900,0,1,1,26
901,0,0,0,74
902,0,0,1,38
903,0,1,0,66
904,0,0,1,53
905,0,1,0,76
906,0,0,0,62
907,0,1,0,59
908,0,1,0,42
909,0,1,0,37
910,0,0,0,33
911,0,1,0,41
912,0,1,0,27
913,0,1,1,68
914,0,1,0,33
915,0,0,0,49
916,0,1,0,53
917,0,1,1,53
918,0,1,0,56
919,0,0,0,38
920,0,0,0,34
921,0,0,0,77
922,0,1,1,47
923,0,0,0,70
924,0,1,0,55
925,0,1,0,56
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
