rho,-1.57079632679,-1.56204537233,-1.55329441786,-1.54454346339,-1.53579250893,-1.52704155446,-1.51829059999,-1.50953964553,-1.50078869106,-1.49203773659,-1.48328678213,-1.47453582766,-1.46578487319,-1.45703391873,-1.44828296426,-1.43953200979,-1.43078105533,-1.42203010086,-1.41327914639,-1.40452819193,-1.39577723746,-1.38702628299,-1.37827532852,-1.36952437406,-1.36077341959,-1.35202246512,-1.34327151066,-1.33452055619,-1.32576960172,-1.31701864726,-1.30826769279,-1.29951673832,-1.29076578386,-1.28201482939,-1.27326387492,-1.26451292046,-1.25576196599,-1.24701101152,-1.23826005706,-1.22950910259,-1.22075814812,-1.21200719366,-1.20325623919,-1.19450528472,-1.18575433025,-1.17700337579,-1.16825242132,-1.15950146685,-1.15075051239,-1.14199955792,-1.13324860345,-1.12449764899,-1.11574669452,-1.10699574005,-1.09824478559,-1.08949383112,-1.08074287665,-1.07199192219,-1.06324096772,-1.05449001325,-1.04573905879,-1.03698810432,-1.02823714985,-1.01948619538,-1.01073524092,-1.00198428645,-0.993233331985,-0.984482377518,-0.975731423051,-0.966980468584,-0.958229514117,-0.94947855965,-0.940727605184,-0.931976650717,-0.92322569625,-0.914474741783,-0.905723787316,-0.896972832849,-0.888221878383,-0.879470923916,-0.870719969449,-0.861969014982,-0.853218060515,-0.844467106049,-0.835716151582,-0.826965197115,-0.818214242648,-0.809463288181,-0.800712333714,-0.791961379248,-0.783210424781,-0.774459470314,-0.765708515847,-0.75695756138,-0.748206606913,-0.739455652447,-0.73070469798,-0.721953743513,-0.713202789046,-0.704451834579,-0.695700880113,-0.686949925646,-0.678198971179,-0.669448016712,-0.660697062245,-0.651946107778,-0.643195153312,-0.634444198845,-0.625693244378,-0.616942289911,-0.608191335444,-0.599440380977,-0.590689426511,-0.581938472044,-0.573187517577,-0.56443656311,-0.555685608643,-0.546934654176,-0.53818369971,-0.529432745243,-0.520681790776,-0.511930836309,-0.503179881842,-0.494428927376,-0.485677972909,-0.476927018442,-0.468176063975,-0.459425109508,-0.450674155041,-0.441923200575,-0.433172246108,-0.424421291641,-0.415670337174,-0.406919382707,-0.39816842824,-0.389417473774,-0.380666519307,-0.37191556484,-0.363164610373,-0.354413655906,-0.34566270144,-0.336911746973,-0.328160792506,-0.319409838039,-0.310658883572,-0.301907929105,-0.293156974639,-0.284406020172,-0.275655065705,-0.266904111238,-0.258153156771,-0.249402202304,-0.240651247838,-0.231900293371,-0.223149338904,-0.214398384437,-0.20564742997,-0.196896475504,-0.188145521037,-0.17939456657,-0.170643612103,-0.161892657636,-0.153141703169,-0.144390748703,-0.135639794236,-0.126888839769,-0.118137885302,-0.109386930835,-0.100635976368,-0.0918850219017,-0.0831340674348,-0.074383112968,-0.0656321585012,-0.0568812040344,-0.0481302495675,-0.0393792951007,-0.0306283406339,-0.0218773861671,-0.0131264317002,-0.00437547723341,0.00437547723341,0.0131264317002,0.0218773861671,0.0306283406339,0.0393792951007,0.0481302495675,0.0568812040344,0.0656321585012,0.074383112968,0.0831340674348,0.0918850219017,0.100635976368,0.109386930835,0.118137885302,0.126888839769,0.135639794236,0.144390748703,0.153141703169,0.161892657636,0.170643612103,0.17939456657,0.188145521037,0.196896475504,0.20564742997,0.214398384437,0.223149338904,0.231900293371,0.240651247838,0.249402202304,0.258153156771,0.266904111238,0.275655065705,0.284406020172,0.293156974639,0.301907929105,0.310658883572,0.319409838039,0.328160792506,0.336911746973,0.34566270144,0.354413655906,0.363164610373,0.37191556484,0.380666519307,0.389417473774,0.39816842824,0.406919382707,0.415670337174,0.424421291641,0.433172246108,0.441923200575,0.450674155041,0.459425109508,0.468176063975,0.476927018442,0.485677972909,0.494428927376,0.503179881842,0.511930836309,0.520681790776,0.529432745243,0.53818369971,0.546934654176,0.555685608643,0.56443656311,0.573187517577,0.581938472044,0.590689426511,0.599440380977,0.608191335444,0.616942289911,0.625693244378,0.634444198845,0.643195153312,0.651946107778,0.660697062245,0.669448016712,0.678198971179,0.686949925646,0.695700880113,0.704451834579,0.713202789046,0.721953743513,0.73070469798,0.739455652447,0.748206606913,0.75695756138,0.765708515847,0.774459470314,0.783210424781,0.791961379248,0.800712333714,0.809463288181,0.818214242648,0.826965197115,0.835716151582,0.844467106049,0.853218060515,0.861969014982,0.870719969449,0.879470923916,0.888221878383,0.896972832849,0.905723787316,0.914474741783,0.92322569625,0.931976650717,0.940727605184,0.94947855965,0.958229514117,0.966980468584,0.975731423051,0.984482377518,0.993233331985,1.00198428645,1.01073524092,1.01948619538,1.02823714985,1.03698810432,1.04573905879,1.05449001325,1.06324096772,1.07199192219,1.08074287665,1.08949383112,1.09824478559,1.10699574005,1.11574669452,1.12449764899,1.13324860345,1.14199955792,1.15075051239,1.15950146685,1.16825242132,1.17700337579,1.18575433025,1.19450528472,1.20325623919,1.21200719366,1.22075814812,1.22950910259,1.23826005706,1.24701101152,1.25576196599,1.26451292046,1.27326387492,1.28201482939,1.29076578386,1.29951673832,1.30826769279,1.31701864726,1.32576960172,1.33452055619,1.34327151066,1.35202246512,1.36077341959,1.36952437406,1.37827532852,1.38702628299,1.39577723746,1.40452819193,1.41327914639,1.42203010086,1.43078105533,1.43953200979,1.44828296426,1.45703391873,1.46578487319,1.47453582766,1.48328678213,1.49203773659,1.50078869106,1.50953964553,1.51829059999,1.52704155446,1.53579250893,1.54454346339,1.55329441786,1.56204537233,1.57079632679
-356.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-355.0,9.0,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-354.0,10.0,9.0,7.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-353.0,12.0,9.0,8.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-352.0,14.0,12.0,10.0,8.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-351.0,14.0,14.0,12.0,9.0,6.0,6.0,4.0,4.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-350.0,11.0,14.0,15.0,12.0,9.0,7.0,4.0,4.0,4.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-349.0,12.0,11.0,12.0,14.0,13.0,11.0,7.0,4.0,4.0,4.0,4.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-348.0,11.0,12.0,12.0,12.0,13.0,13.0,11.0,7.0,4.0,4.0,4.0,4.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
