,Hcompresseddatasize,Hcompressionratio,Lcompresseddatasize,Lcompressionratio,datasize,entropy,image,size
0,9075.0,1.1349862259,7754.0,1.32834665979,10300.0,7.01952659048,girl,"(103L, 100L)"
1,32531.0,1.58396606314,45508.0,1.13228443351,51528.0,5.02910054498,beans,"(226L, 228L)"
2,187304.0,1.45835646863,268321.0,1.01801946176,273156.0,5.46161006124,monument,"(663L, 412L)"
3,79157.0,1.09251234888,67834.0,1.27487690539,86480.0,7.28854136991,lena,"(230L, 376L)"
4,7216.0,1.39800443459,8810.0,1.14506242906,10088.0,5.69099325818,fruit,"(97L, 104L)"
5,58468.0,1.12088663885,57096.0,1.14782121339,65536.0,7.10279676556,Cameraman256,"(256L, 256L)"
6,54995.0,1.12264751341,52911.0,1.16686511311,61740.0,7.09599919453,peacock,"(245L, 252L)"
7,80470.0,1.18344724742,80337.0,1.18540647522,95232.0,6.7268530054,rose,"(256L, 372L)"
8,57043.0,1.35476745613,50339.0,1.53519140229,77280.0,5.87815168017,fractal,"(276L, 280L)"
